"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","SO2","PM10","PM25","NO2"
"10/29/2020","30","PM2.5","VON HILLERN ST","25-025-0044","AQS","5","26","1","9","30","24"
"10/30/2020","34","PM2.5","VON HILLERN ST","25-025-0044","AQS","5","26","3","8","34","27"
"10/31/2020","60","PM2.5","","25-021-2004","AQS","13","24","4","12","60","35"
"11/01/2020","50","PM2.5","ChelmsfordNR","25-017-0010","AQS","13","29","1","13","50","31"
"11/02/2020","31","Ozone","LYNN WATER TREATMENT PLANT","25-009-2006","AQS","3","31","1","7","21","17"
"11/03/2020","29","PM2.5","VON HILLERN ST","25-025-0044","AQS","2","26","3","7","29","24"
"11/04/2020","38","PM2.5","VON HILLERN ST","25-025-0044","AQS","3","32","4","14","38","28"
"11/05/2020","41","Ozone","MOOSEHILL SCHOOL","33-015-0018","AQS","3","41","3","17","33","27"
"11/06/2020","45","Ozone","MOOSEHILL SCHOOL","33-015-0018","AQS","3","45","1","16","36","24"
"11/07/2020","59","PM2.5","","25-021-2004","AQS","6","44","3","26","59","43"
"11/08/2020","73","PM2.5","CONSENTINO SCHOOL.","25-009-5005","AQS","8","49","3","26","73","40"
"11/09/2020","80","PM2.5","VON HILLERN ST","25-025-0044","AQS","13","37","1","20","80","42"
"11/10/2020","59","PM2.5","PORTSMOUTH - PEIRCE ISLAND","33-015-0014","AQS","14","37","1","24","59","37"
"11/11/2020","27","PM2.5","CONSENTINO SCHOOL.","25-009-5005","AQS","2","24","1","10","27","19"
"11/12/2020","26","Ozone","LYNN WATER TREATMENT PLANT","25-009-2006","AQS","2","26","1","7","22","20"
"11/13/2020","28","PM2.5","VON HILLERN ST","25-025-0044","AQS","3","17","1","8","28","18"
"11/14/2020","35","PM2.5","VON HILLERN ST","25-025-0044","AQS","3","28","3","7","35","27"
"11/15/2020","36","Ozone","LYNN WATER TREATMENT PLANT","25-009-2006","AQS","5","36","3","11","32","28"
"11/16/2020","31","Ozone","LYNN WATER TREATMENT PLANT","25-009-2006","AQS","3","31","1","6","19","26"
"11/17/2020","52","PM2.5","CONSENTINO SCHOOL.","25-009-5005","AQS","3","31","3","9","52","25"
"11/18/2020","30","Ozone","CONSENTINO SCHOOL.","25-009-5005","AQS","2","30","3","7","28","23"
"11/19/2020","36","PM2.5","Brockton Buckley","25-023-0005","AQS","3","31","3","10","36","35"
"11/20/2020","45","PM2.5","Brockton Buckley","25-023-0005","AQS","3","32","3","17","45","35"
"11/21/2020","49","PM2.5","Brockton Buckley","25-023-0005","AQS","3","32","4","13","49","34"
